Date,Close/Last,Volume,Open,High,Low
07/09/2019,$66.0111,4431970,$65.1738,$66.2687,$64.6586
07/08/2019,$65.6891,6017891,$67.1059,$67.1703,$65.3026
07/05/2019,$67.6211,3783461,$67.8787,$67.9431,$66.7839
07/03/2019,$68.3295,2771949,$68.6515,$68.6515,$67.8787
07/02/2019,$68.3939,3765718,$68.4583,$69.0057,$68.0725
07/01/2019,$68.4583,5000966,$68.3939,$69.0379,$67.8143
06/28/2019,$67.6211,5502551,$66.9127,$67.6211,$66.7839
06/27/2019,$66.9771,4160413,$65.9467,$67.2347,$65.9467
06/26/2019,$66.1399,4265998,$65.8179,$66.9127,$65.6891
06/25/2019,$65.8179,4437023,$66.0755,$66.2043,$65.045
06/24/2019,$66.2043,4574848,$67.3635,$67.8143,$66.1399
06/21/2019,$67.4923,8196998,$68.6837,$68.9735,$67.2991
06/20/2019,$68.4583,8245186,$67.4279,$68.9091,$67.3957
06/19/2019,$66.5907,7577089,$67.4279,$68.3295,$66.5263
06/18/2019,$67.1059,9195445,$65.1094,$67.1703,$64.9806
06/17/2019,$64.723,5756281,$65.6891,$65.9467,$64.5298
06/14/2019,$65.8823,4294381,$66.2043,$66.5907,$65.5603
06/13/2019,$66.3975,7764468,$66.7195,$67.7499,$66.0111
06/12/2019,$66.2043,6871259,$64.9162,$66.9127,$64.5298
06/11/2019,$65.1738,4869709,$65.045,$65.6891,$64.1434
06/10/2019,$64.723,6533393,$64.723,$66.6551,$64.401
06/07/2019,$64.2722,5135571,$63.757,$64.6908,$63.2096
06/06/2019,$63.8858,4816001,$63.6926,$64.401,$62.9198
06/05/2019,$63.6926,5145423,$64.8518,$64.9806,$63.2418
06/04/2019,$64.401,7675589,$61.8894,$64.401,$61.7284
06/03/2019,$61.3742,5909248,$59.893,$61.4386,$59.571
05/31/2019,$60.7946,5792233,$60.1506,$60.9878,$59.893
05/30/2019,$60.9878,6316425,$60.3438,$61.2454,$59.8286
05/29/2019,$60.3438,5573495,$59.9574,$60.4726,$58.9269
05/28/2019,$60.2794,9026464,$60.6014,$61.4386,$59.6998
05/24/2019,$60.859,5941633,$61.9538,$62.308,$60.7624
05/23/2019,$61.5674,7105188,$63.1774,$63.2837,$60.9878
05/22/2019,$63.757,6455509,$64.079,$65.1738,$63.6282
05/21/2019,$64.1434,7551680,$64.1434,$64.1434,$63.113
05/20/2019,$63.6282,6525891,$63.8214,$64.7874,$62.9842
05/17/2019,$64.401,4632810,$64.4654,$65.4314,$64.2722
05/16/2019,$65.2382,6813189,$65.8179,$66.2687,$64.7874
05/15/2019,$66.0755,6714548,$65.367,$66.9127,$65.1416
05/14/2019,$66.4619,8815063,$64.0146,$66.6551,$63.8214
05/13/2019,$63.5638,7517003,$63.435,$64.8196,$63.2418
05/10/2019,$65.2382,7891280,$64.5298,$65.5603,$62.9198
05/09/2019,$64.6586,7437481,$65.1094,$65.7535,$64.5298
05/08/2019,$65.4314,5918668,$64.9162,$66.0111,$64.9162
05/07/2019,$65.1094,7111774,$66.5907,$66.7195,$64.7874
05/06/2019,$67.1703,5453978,$65.9467,$67.5567,$65.7535
05/03/2019,$67.6211,8601940,$66.3331,$67.6211,$65.9467
05/02/2019,$66.0111,9903230,$65.367,$66.9771,$64.9162
05/01/2019,$65.045,12421805,$65.367,$67.1059,$64.9806
04/30/2019,$65.4958,21634700,$65.8823,$67.8143,$64.1434
04/29/2019,$62.6622,8230734,$61.6318,$62.7266,$61.4386
04/26/2019,$61.6318,9191036,$58.7337,$61.7606,$58.6693
04/25/2019,$58.7337,7681871,$59.3778,$59.4422,$57.8321
04/24/2019,$60.0218,3596651,$59.9574,$60.215,$59.3134
04/23/2019,$60.0862,5000379,$59.893,$60.3438,$59.3778
04/22/2019,$60.0218,8388453,$59.571,$60.215,$59.1201
04/18/2019,$60.215,6420189,$58.7981,$60.215,$58.5727
04/17/2019,$58.7337,5928069,$58.9913,$59.1201,$58.3473
04/16/2019,$58.8625,7526011,$58.2185,$59.1523,$57.8965
04/15/2019,$57.8321,10359076,$58.0253,$58.2829,$56.6085
04/12/2019,$57.9609,8557096,$58.9269,$59.3134,$57.8965
04/11/2019,$58.7337,6616124,$58.7337,$59.6354,$58.5727
04/10/2019,$58.9913,6668595,$59.571,$59.6354,$58.4761
04/09/2019,$59.3778,10389749,$60.215,$60.6014,$58.7337
04/08/2019,$61.1166,21979063,$61.2454,$61.4386,$58.9269
04/05/2019,$64.4654,5405240,$64.8518,$65.3026,$64.2722
04/04/2019,$64.5942,5065118,$65.045,$65.1738,$64.2078
04/03/2019,$65.045,7010194,$66.0755,$66.1721,$64.401
04/02/2019,$65.9467,6459430,$64.7874,$66.2043,$64.6586
04/01/2019,$65.045,6003455,$64.5298,$65.2382,$64.401
03/29/2019,$64.3366,6060648,$64.2722,$64.5942,$63.9071
03/28/2019,$63.6926,5644180,$64.1434,$64.4654,$63.113
03/27/2019,$64.1434,6886638,$64.9162,$65.5603,$63.757
03/26/2019,$65.045,5896266,$64.079,$65.367,$63.9502
03/25/2019,$63.6282,6028231,$64.1434,$65.2382,$63.1774
03/22/2019,$64.2722,10178230,$65.8179,$65.9467,$63.8858
03/21/2019,$66.1399,6305386,$65.6891,$66.5263,$65.2382
03/20/2019,$65.8179,6041883,$65.2382,$66.5263,$65.1738
03/19/2019,$65.6247,6760479,$65.8179,$66.5907,$65.3026
03/18/2019,$65.6891,10995448,$64.3366,$66.3975,$64.2078
03/15/2019,$64.1434,23642875,$66.2687,$67.2669,$63.757
03/14/2019,$66.3331,16712350,$66.3331,$67.6211,$65.6569
03/13/2019,$64.5298,9202644,$62.6622,$64.723,$62.469
03/12/2019,$62.8554,12403679,$63.9502,$65.3026,$62.2114
03/11/2019,$63.757,13238588,$60.859,$64.5298,$60.0862
03/08/2019,$61.6962,10933151,$60.0862,$62.3402,$59.7642
03/07/2019,$60.859,15928638,$58.4761,$60.859,$58.4117
03/06/2019,$58.6693,25682675,$59.6354,$62.0826,$58.2829
03/05/2019,$63.6926,22174713,$66.8483,$68.0719,$61.6962
03/04/2019,$66.8483,8714291,$66.4619,$67.7177,$65.7857
03/01/2019,$66.1399,11110103,$67.2991,$67.7499,$64.723
02/28/2019,$66.9127,11332256,$69.6819,$69.8751,$66.5263
02/27/2019,$70.0683,13586588,$69.7463,$70.3903,$68.5227
